Country,Total_Cases,Total_death,New_Death,Total_Recovery,Active_Cases,Critical,CasesPerMillion,DeathPerMillion,Total_tests,Population,Lattitude,Longitude
Congo [Republic],2297190,121407,719,956061,1219722,16533,6941,367,27337385,330944050,-0.228021,15.827659
Brazil,1038568,49090,#ERROR!,520360,469118,8318,4887,231,2344437,212512836,-14.235004,-51.92528
Russia,569063,7841,181,324406,236816,2300,3899,54,16321964,145932745,61.52401,105.318756
India,395812,12970,366,214206,168636,8944,287,9,6426627,1379567062,20.593684,78.96288
United Kingdom,301815,42461,173,N/A,N/A,379,4447,626,7433114,67875356,55.378051,-3.435973
Spain,292655,28315,,N/A,N/A,617,6259,606,4826516,46754281,40.463667,-3.74922
Peru,247925,7660,199,135520,104745,1130,7523,232,1461266,32956067,-9.189967,-75.015152
Italy,238011,34561,47,181907,21543,161,3936,572,4889103,60464181,41.87194,12.56738
Chile,231393,4093,252,191491,35809,1911,12108,214,923513,19111018,-35.675147,-71.542969
Iran,200262,9392,120,159192,31678,2833,2385,112,1370718,83956634,32.427908,53.688046
Germany,190660,8960,14,174400,7300,376,2276,107,5029696,83776217,51.165691,10.451526
Turkey,185245,4905,23,157516,22824,769,2197,58,2863632,84309377,38.963745,35.243322
Mexico,165455,19747,667,123095,22613,378,1284,153,453481,128888616,23.634501,-102.552784
Pakistan,165062,3229,136,61383,100450,111,748,15,1011106,220732413,30.375321,69.345116
France,159452,29617,14,74117,55718,727,2443,454,1384633,65269418,46.227638,2.213749
Saudi Arabia,150292,1184,45,95764,53344,1941,4319,34,1224289,34794765,23.885942,45.079162
Bangladesh,105535,1388,45,42945,61202,1,641,8,585548,164636385,23.684994,90.356331
Canada,100629,8346,46,63003,29280,1990,2667,221,2339563,37731670,56.130366,-106.346771
South Africa,87715,1831,94,47825,38059,208,1480,31,1260434,59283506,-30.559482,22.937506
Qatar,85462,93,7,65409,19960,221,30437,33,313501,2807805,25.354826,51.183884
China,83325,4634,,78398,293,11,58,3,,1439323776,35.86166,104.195397
Colombia,63276,2045,95,23988,37243,335,1244,40,568324,50865177,4.570868,-74.297333
Belgium,60476,9695,12,16751,34030,55,5219,837,1087369,11588139,50.503887,4.469936
Belarus,57333,337,6,35275,21721,92,6067,36,821887,9449407,53.709807,27.953389
Sweden,56043,5053,,N/A,N/A,272,5550,500,385659,10097352,60.128161,18.643501
Egypt,52211,2017,79,13928,36266,41,511,20,135000,102263012,26.820553,30.802498
Ecuador,49731,4156,69,24446,21129,234,2820,236,137930,17633668,-1.831239,-78.183406
Netherlands,49426,6081,3,N/A,N/A,57,2885,355,517317,17133798,52.132633,5.291266
United Kingdom,44145,300,2,30996,12849,1,4465,30,3038000,9886410,55.378051,-3.435973
Indonesia,43803,2373,34,17349,24081,,160,9,601239,273429272,-0.789275,113.921327
Singapore,41615,26,,33459,8130,2,7115,4,576189,5848906,1.352083,103.819836
Argentina,39570,979,31,11851,26740,353,876,22,264604,45182547,-38.416097,-63.616672
Kuwait,38678,313,5,30190,8175,193,9062,73,349412,4268372,29.31166,47.481766
Portugal,38464,1527,3,24477,12460,67,3772,150,1047109,10197475,39.399872,-8.224454
Ukraine,34984,985,19,16033,17966,343,800,23,542247,43740134,48.379433,31.16558
Poland,31316,1334,18,15698,14284,87,827,35,1297676,37847717,51.919438,19.145136
Switzerland,31235,1956,,28900,379,17,3610,226,493843,8652664,46.818188,8.227512
Philippines,28459,1130,14,7378,19951,417,260,10,553197,109531422,12.879721,121.774017
Afghanistan,27878,548,2,7962,19368,19,717,14,62492,38894188,33.93911,67.709953
